id,text,TG1,TG2,TG3,TG4,TGAvg,TGVar,TF1,TF2,TF3,TF4,TFAvg,TFVar,TD1,TD2,TD3,TD4,TDAvg,TDVar,Keywords,Language,SelfOpinion,SystemNamed,MakerNamed,MetricNamed,ComponentNamed,URL,Quantification,SourceCode,Perplexity,StyleAppropriateness,TrigramRecoveredInformation,TrigramSourceInformation,TrigramRecoveryRate,AffinityRate
0,"Natural language interfaces to databases(NLIDB) democratize end user access to relational data. Due to fundamental differences between natural language communication and programming, it is common for end users to issue questions that are ambiguous to the system or fall outside the semantic scope of its underlying query language. We present PHOTON, a robust, modular, cross-domain NLIDB that can flag natural language input to which a SQL mapping cannot be immediately determined. PHOTON consists of a strong neural semantic parser (63.2 structure accuracy on the Spider dev benchmark), a human-in-the-loop question corrector, a SQL executor and a response generator. The question corrector isa discriminative neural sequence editor which detects confusion span(s) in the input question and suggests rephrasing until a translatable input is given by the user or a maximum number of iterations are conducted. Experiments on simulated data show that the proposed method effectively improves the robustness of text-to-SQL system against untranslatable user input.The live demo of our system is available at http://www.naturalsql.com",2,2,4,3,2.75,0.916666667,4,3,4,3,3.5,0.333333333,1,3,4,2,2.5,1.666666667,NLI Search,,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,34.31,-0.630439281,3304.231558,102098.7713,0.032363088,0.596730585
1,"We present Tabouid, a word-guessing game automatically generated from Wikipedia. Tabouid contains 10,000 (virtual) cards in English, and as many in French, covering not only words and linguistic expressions but also a variety of topics including artists, historical events or scientific concepts. Each card corresponds to a Wikipedia article, and conversely, any article could be turned into a card. A range of relatively simple NLP and machine-learning techniques are effectively integrated into a two-stage process. First, a large subset of Wikipedia articles are scored - this score estimates the difficulty, or alternatively, the playability of the page. Then, the best articles are turned into cards by selecting, for each of them, a list of banned words based on its content. We believe that the game we present is more than mere entertainment and that, furthermore, this paper has pedagogical potential.",4,4,3,4,3.75,0.25,3,2,4,3,3,0.666666667,2,2,4,3,2.75,0.916666667,LanguageLearning Game,English French,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24.11,-0.117031097,3640.867122,65639.08314,0.055467977,0.548434469
2,"This paper proposes the building of Xiaomingbot, an intelligent, multilingual and multimodal software robot equipped with four inte- gral capabilities: news generation, news translation, news reading and avatar animation. Its system summarizes Chinese news that it automatically generates from data tables. Next, it translates the summary or the full article into multiple languages, and reads the multi- lingual rendition through synthesized speech. Notably, Xiaomingbot utilizes a voice cloning technology to synthesize the speech trained from a real person's voice data in one input language. The proposed system enjoys several merits: it has an animated avatar, and is able to generate and read multilingual news. Since it was put into practice, Xiaomingbot has written over 600,000 articles, and gained over 150,000 followers on social media platforms.",4,4,3,3,3.5,0.333333333,4,4,3,2,3.25,0.916666667,2,3,2,3,2.5,0.333333333,News Translation TTS,Chinese,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,32.46,-0.067723274,3588.466301,66583.06859,0.053894577,0.572949292
3,"This paper presents LinggleWrite, a writing coach that provides writing suggestions, assesses writing proficiency levels, detects grammatical errors, and offers corrective feedback in response to user's essay. The method involves extracting grammar patterns, training models for automated essay scoring (AES) and grammatical error detection (GED), and finally retrieving plausible corrections from a n-gram search engine. Experiments on public test sets indicate that both AES and GED models achieve state-of-the-art performance. These results show that LinggleWrite is potentially useful in helping learners improve their writing skills.",4,4,3,4,3.75,0.25,3,2,2,3,2.5,0.333333333,1,2,2,2,1.75,0.25,Writing WritingCoach,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,28.24,-0.867443562,1267.360279,62444.2479,0.020295869,0.558729249
4,"Traditional search engines for life sciences (e.g., PubMed) are designed for document retrieval and do not allow direct retrieval of specific statements. Some of these statements may serve as textual evidence that is key to tasks such as hypothesis generation and new finding validation. We present EVIDENCEMINER, a web-based system that lets users query a natural language statement and automatically retrieves textual evidence from a background corpora for life sciences. EVIDENCEMINER is constructed in a completely automated way without any human effort for training data annotation. It is supported by novel data-driven methods for distantly supervised named entity recognition and open information extraction. The entities and patterns are pre-computed and indexed offline to support fast online evidence retrieval. The annotation results are also highlighted in the original document for better visualization. EVIDENCEMINER also includes analytic functionalities such as the most frequent entity and relation summarization. EVIDENCEMINER can help scientists uncover important research issues, leading to more effective research and more in-depth quantitative analysis. The system of EVIDENCEMINER is available at https://evidenceminer.firebaseapp.com/.",5,4,4,4,4.25,0.25,3,1,3,3,2.5,1,2,2,3,3,2.5,0.333333333,Science Search,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25.27,-0.45547533,3372.490945,55726.07872,0.060519079,0.624898867
5,"Millions of news articles from hundreds of thousands of sources around the globe appear in news aggregators every day. Consuming such a volume of news presents an almost insurmountable challenge. For example, a reader searching on Bloomberg's system for news about the U.K. would find 10,000 articles on a typical day. Apple Inc., the world's most journalistically covered company, garners around 1,800 news articles a day. We realized that a new kind of summarization engine was needed, one that would condense large volumes of news into short, easy to absorb points. The system would filter out noise and duplicates to identify and summarize key news about companies, countries or markets. When given a user query, Bloomberg's solution, Key News Themes (or NSTM), leverages state-of-the-art semantic clustering techniques and novel summarization methods to produce comprehensive, yet concise, digests to dramatically simplify the news consumption process. NSTM is available to hundreds of thousands of readers around the world and serves thousands of requests daily with sub-second latency. At ACL 2020, we will present a demo of NSTM.",5,5,5,5,5,0,3,2,3,2,2.5,0.333333333,3,3,2,2,2.5,0.333333333,News Summary,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,19.48,-0.072927713,1127.897017,87821.91378,0.012843002,0.562949407
6,"We present the first comprehensive, open source multimedia knowledge extraction system that takes a massive stream of unstructured, heterogeneous multimedia data from various sources and languages as input, and creates a coherent, structured knowledge base, indexing entities, relations, and events, following a rich, fine-grained ontology. Our system, GAIA, enables seamless search of complex graph queries, and retrieves multimedia evidence including text, images and videos. GAIA achieves top performance at the recent NIST TAC SM-KBP2019 evaluation. The system is publicly available at GitHub and DockerHub, with a narrated video that documents the system.",3,2,2,2,2.25,0.25,3,2,3,2,2.5,0.333333333,2,2,3,2,2.25,0.25,KnowledgeExtraction Multimedia,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,39.48,-0.558125257,1450.17553,107507.5772,0.013489054,0.547597203
7,"This study develops an incorrect example retrieval system, called Sakura, using a large-scale Lang-8 dataset for Japanese language learners. Existing example retrieval systems do not include grammatically incorrect examples or present only a few examples, if any. If a retrieval system has a wide coverage of incorrect examples along with the correct counterpart, learners can revise their composition themselves. Considering the usability of retrieving incorrect examples, our proposed system uses a large-scale corpus to expand the coverage of incorrect examples and presents correct expressions along with incorrect expressions. Our intrinsic and extrinsic evaluations indicate that our system is more useful than a previous system.",5,4,3,3,3.75,0.916666667,2,2,2,2,2,0,3,4,4,2,3.25,0.916666667,LanguageLearning Example Search,Japanese,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,37.86,-0.532628298,1620.733665,55332.92021,0.029290586,0.574347752
8,"Recent events, such as the 2016 US Presidential Campaign, Brexit and the COVID-19 ``infodemic'', have brought into the spotlight the dangers of online disinformation. There has been a lot of research focusing on fact-checking and disinformation detection. However, little attention has been paid to the specific rhetorical and psychological techniques used to convey propaganda messages. Revealing the use of such techniques can help promote media literacy and critical thinking, and eventually contribute to limiting the impact of ``fake news'' and disinformation campaigns. Prta (Propaganda Persuasion Techniques Analyzer) allows users to explore the articles crawled on a regular basis by highlighting the spans in which propaganda techniques occur and to compare them on the basis of their use of propaganda techniques. The system further reports statistics about the use of such techniques, overall and over time, or according to filtering criteria specified by the user based on time interval, keywords, and/or political orientation of the media. Moreover, it allows users to analyze any text or URL through a dedicated interface or via an API. The system is available online: https://www.tanbih.org/prta.",5,3,5,5,4.5,1,3,2,3,2,2.5,0.333333333,3,2,3,3,2.75,0.25,News Disinformation Education,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,25.71,-0.210170269,3657.20547,62431.3094,0.058579669,0.561544439
9,"This work describes an automatic news chatbot that draws content from a diverse set of news articles and creates conversations with a user about the news. Key components of the system include the automatic organization of news articles into topical chatrooms, integration of automatically generated questions into the conversation, and a novel method for choosing which questions to present which avoids repetitive suggestions. We describe the algorithmic framework and present the results of a usability study that shows that news readers using the system successfully engage in multi-turn conversations about specific news stories.",3,4,3,4,3.5,0.333333333,3,3,4,3,3.25,0.25,3,3,1,3,2.5,1,News Chat,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,23.5,-0.399382591,2271.21749,73633.66901,0.030844823,0.554767002
